name,country,region,continent
Lagos,Singapore,Dhaka Division,Oceania
Buenos Aires,Brazil,São Paulo State,South America
Dubai,Italy,New South Wales,Oceania
Madrid,Germany,Lagos State,South America
Johannesburg,Bangladesh,Jakarta Special Region,Oceania
Shanghai,Pakistan,Lima Province,Africa
Sydney,Peru,Baghdad Governorate,Europe
Los Angeles,Saudi Arabia,Kuala Lumpur Federal Territory,South America
Rome,Kenya,Jakarta Special Region,Europe
Tehran,UK,Buenos Aires Province,Oceania
Tokyo,Russia,Île-de-France,Europe
Kathmandu,Brazil,Bavaria,Europe
Hong Kong,UK,Bangkok Metropolitan Region,South America
Nairobi,Egypt,Illinois,North America
Seoul,Mexico,Central Anatolia,North America
Lima,Turkey,Buenos Aires Province,Europe
Delhi,Indonesia,Île-de-France,Asia
New York,Afghanistan,England,Africa
Kabul,Taiwan,Gauteng,Asia
Cairo,Morocco,Metro Manila,Asia
São Paulo,Argentina,Buenos Aires Province,Africa
Bangalore,Afghanistan,Santiago Metro,North America
Dhaka,Iraq,Baghdad Governorate,Asia
Buenos Aires,Hong Kong,Metro Manila,South America
Singapore,Nigeria,Distrito Federal,North America
Buenos Aires,Germany,Kuala Lumpur Federal Territory,Africa
Lima,France,Tokyo Prefecture,Africa
Bogotá,Nigeria,Shanghai Municipality,North America
Hong Kong,South Korea,Bangkok Metropolitan Region,Africa
Kathmandu,Iran,Sindh,North America
Lagos,Mexico,Beijing Municipality,Oceania
Rome,Chile,Hong Kong SAR,Asia
Manila,Singapore,Ontario,Oceania
Lima,Mexico,Metro Manila,Africa
Tehran,Thailand,Distrito Federal,North America
Santiago,Japan,Santiago Metro,Oceania
Los Angeles,Singapore,Dhaka Division,Asia
Rio de Janeiro,South Korea,Seoul Capital Area,South America
São Paulo,Iraq,Dhaka Division,Africa
Dhaka,Malaysia,Giza,Europe
Dubai,Morocco,Nairobi County,North America
Bangkok,Taiwan,Kabul Province,South America
Singapore,China,Cundinamarca,Oceania
Johannesburg,Colombia,Bangkok Metropolitan Region,South America
Chicago,Mexico,Beijing Municipality,Oceania
Cape Town,Cuba,Lombardy,Oceania
Nairobi,Singapore,Metro Manila,Africa
Mexico City,China,Lima Province,North America
Chicago,Afghanistan,Lima Province,South America
Jakarta,Peru,Delhi,Africa
Paris,Philippines,Karnataka,Europe
Singapore,Colombia,Central Anatolia,Asia
Taipei,India,Giza,North America
Rio de Janeiro,Egypt,Jakarta Special Region,North America
Kuala Lumpur,Nepal,Western Cape,Oceania
Paris,Nigeria,Rio de Janeiro State,Africa
Seoul,France,Baghdad Governorate,Africa
Kuala Lumpur,Peru,Karnataka,Europe
Madrid,Nepal,Lagos State,Oceania
Manila,USA,New York State,Oceania
Santiago,Saudi Arabia,New York State,North America
Shanghai,Kenya,California,Africa
Paris,Peru,Kabul Province,Africa
Lagos,Iran,Lima Province,Asia
Kathmandu,Nepal,São Paulo State,South America
Taipei,Saudi Arabia,Jakarta Special Region,Africa
Shanghai,USA,La Habana,North America
Lagos,Indonesia,Bavaria,Europe
Madrid,Turkey,Kuala Lumpur Federal Territory,South America
Havana,Afghanistan,Dubai Emirate,North America
Kuala Lumpur,Afghanistan,Lagos State,Europe
Tehran,Kenya,Riyadh Province,Africa
Bangkok,Chile,Kuala Lumpur Federal Territory,Oceania
Seoul,Singapore,Hong Kong SAR,South America
Sydney,Egypt,Tokyo Prefecture,Asia
Los Angeles,Afghanistan,Casablanca-Settat,Africa
Manila,Cuba,Nairobi County,South America
Lagos,Iraq,Tehran Province,Oceania
Tokyo,Turkey,Cundinamarca,Oceania
Tokyo,Bangladesh,California,Africa
Kuala Lumpur,Philippines,Marmara Region,Europe
Manila,Australia,Seoul Capital Area,Europe
Paris,Brazil,Jakarta Special Region,Asia
Moscow,Nigeria,New York State,Europe
Lima,Thailand,Kuala Lumpur Federal Territory,Africa
Shanghai,UK,Jakarta Special Region,Oceania
Bogotá,Canada,Bavaria,South America
Kathmandu,Taiwan,Moscow Oblast,North America
Jakarta,Philippines,Kuala Lumpur Federal Territory,Oceania
Melbourne,Morocco,New South Wales,Africa
Sydney,Turkey,Riyadh Province,South America
Riyadh,UAE,Tokyo Prefecture,North America
Toronto,Chile,New York State,North America
Tehran,Taiwan,Victoria,South America
Delhi,Russia,Victoria,Africa
Beijing,Peru,Buenos Aires Province,Asia
Lima,Pakistan,Karnataka,Africa
Johannesburg,UK,California,North America
Moscow,Iran,Karnataka,Oceania
Hong Kong,France,Cundinamarca,Asia
Mumbai,UK,Lagos State,North America
Ankara,Egypt,England,Oceania
Mumbai,Singapore,Delhi,Africa
Melbourne,South Africa,Bavaria,North America
Berlin,Hong Kong,Île-de-France,Europe
Los Angeles,Canada,São Paulo State,Asia
Havana,Cuba,Rio de Janeiro State,Europe
Nairobi,Egypt,Santiago Metro,South America
Rio de Janeiro,Egypt,Bagmati Province,Oceania
Madrid,Cuba,Shanghai Municipality,Oceania
Ankara,Taiwan,Rio de Janeiro State,Asia
Cairo,USA,Singapore,South America
Hong Kong,Italy,São Paulo State,South America
Riyadh,China,Buenos Aires Province,Africa
Bangalore,Italy,Jakarta Special Region,Oceania
Seoul,Australia,England,South America
Nairobi,Indonesia,Moscow Oblast,Europe
Dhaka,UK,Île-de-France,Europe
Nairobi,Spain,Catalonia,North America
Delhi,Colombia,Taiwan Province,Asia
Moscow,UAE,Central Anatolia,South America
Kathmandu,Philippines,São Paulo State,South America
Kuala Lumpur,Hong Kong,Victoria,South America
Melbourne,Singapore,Nairobi County,Europe
Delhi,Afghanistan,Distrito Federal,North America
Ankara,Russia,Baghdad Governorate,Europe
Cape Town,Hong Kong,New South Wales,South America
Ankara,India,Kabul Province,North America
Hong Kong,South Africa,Casablanca-Settat,North America
Kuala Lumpur,Malaysia,Buenos Aires Province,North America
Cairo,Nepal,Rio de Janeiro State,Asia
Sydney,Hong Kong,Giza,Asia
Karachi,South Africa,Lima Province,Asia
Lagos,Morocco,Lima Province,North America
Berlin,Egypt,Hong Kong SAR,South America
Seoul,South Korea,Bangkok Metropolitan Region,South America
Havana,Colombia,Casablanca-Settat,Africa
Nairobi,Hong Kong,Hong Kong SAR,South America
Beijing,Australia,Bangkok Metropolitan Region,Oceania
Shanghai,Thailand,Lagos State,Africa
Bogotá,Russia,Seoul Capital Area,Africa
Kathmandu,India,Santiago Metro,Africa
Istanbul,Afghanistan,Bangkok Metropolitan Region,North America
Santiago,USA,Giza,Africa
Kuala Lumpur,India,Cundinamarca,South America
Lima,Brazil,Tokyo Prefecture,South America
Kathmandu,Thailand,Tokyo Prefecture,Africa
Singapore,Taiwan,New York State,South America
Jakarta,South Africa,Jakarta Special Region,Asia
Baghdad,Turkey,Dhaka Division,Africa
Melbourne,South Korea,England,Asia
Chicago,Egypt,Île-de-France,Oceania
São Paulo,Saudi Arabia,Nairobi County,Africa
Rio de Janeiro,Argentina,New York State,South America
Baghdad,Singapore,Lombardy,Europe
Kuala Lumpur,Hong Kong,Rio de Janeiro State,South America
São Paulo,Bangladesh,Santiago Metro,South America
Moscow,Germany,Rio de Janeiro State,Oceania
São Paulo,UAE,Delhi,Africa
Kabul,Australia,Distrito Federal,Africa
Cape Town,UAE,Victoria,Africa
Taipei,Nigeria,Gauteng,Africa
Santiago,Cuba,Dubai Emirate,Africa
Cape Town,Cuba,Santiago Metro,North America
Hong Kong,Iran,Shanghai Municipality,Oceania
Hong Kong,Indonesia,Victoria,Asia
Baghdad,Brazil,Nairobi County,Africa
New York,Taiwan,Tokyo Prefecture,South America
Seoul,Taiwan,Metro Manila,Europe
Tehran,Cuba,Kabul Province,Europe
Baghdad,Turkey,New South Wales,Europe
Madrid,Kenya,Metro Manila,Europe
Kuala Lumpur,Canada,New York State,Oceania
Havana,Colombia,Jakarta Special Region,Europe
Bangkok,Kenya,Dhaka Division,Europe
Hong Kong,UAE,New South Wales,Europe
Hong Kong,Canada,Lima Province,South America
Riyadh,Nigeria,Tehran Province,Europe
Dhaka,Malaysia,São Paulo State,Oceania
Mexico City,Nigeria,Central Anatolia,Oceania
Kuala Lumpur,Bangladesh,Lima Province,Europe
Bogotá,USA,Cundinamarca,Europe
Dhaka,South Africa,Kuala Lumpur Federal Territory,Asia
Dubai,Brazil,Metro Manila,North America
Dhaka,China,Taiwan Province,South America
Rio de Janeiro,Spain,Kabul Province,Asia
Riyadh,Germany,Taiwan Province,Africa
Baghdad,Peru,Giza,Asia
Cairo,Iraq,Cundinamarca,Europe
Santiago,Italy,Hong Kong SAR,North America
Bogotá,Germany,Buenos Aires Province,Asia
Cape Town,South Korea,Bangkok Metropolitan Region,Africa
Bangalore,Colombia,Taiwan Province,Oceania
New York,Germany,Hong Kong SAR,Oceania
Karachi,USA,Victoria,Oceania
Moscow,Nepal,Santiago Metro,Oceania
Rome,Morocco,Cundinamarca,South America
Casablanca,Iran,Dubai Emirate,Oceania
Baghdad,Chile,Illinois,Africa
Mexico City,Italy,New York State,Oceania
Casablanca,Kenya,São Paulo State,Europe
Madrid,Iran,São Paulo State,Asia
Riyadh,Kenya,Central Anatolia,Oceania
Ankara,UK,Delhi,North America
Chicago,India,Baghdad Governorate,Asia
Casablanca,Bangladesh,Cundinamarca,North America
Cairo,Nigeria,Bavaria,Africa
Taipei,Russia,La Habana,South America
Moscow,Afghanistan,California,Africa
Nairobi,USA,Bangkok Metropolitan Region,South America
Beijing,Iraq,Bangkok Metropolitan Region,Africa
Rio de Janeiro,Saudi Arabia,Metro Manila,South America
Dubai,Indonesia,Hong Kong SAR,Africa
Kabul,Kenya,Illinois,Oceania
Kabul,Afghanistan,Catalonia,Europe
Taipei,Afghanistan,Kabul Province,Africa
Bangalore,Brazil,Gauteng,Oceania
Jakarta,Thailand,Kuala Lumpur Federal Territory,Europe
Tokyo,Hong Kong,Western Cape,Asia
Karachi,Kenya,Shanghai Municipality,South America
Mexico City,China,Illinois,Africa
Sydney,Chile,Bangkok Metropolitan Region,North America
Jakarta,Italy,New South Wales,Asia
Singapore,Thailand,New York State,North America
São Paulo,South Korea,Bagmati Province,Oceania
Delhi,Nigeria,Buenos Aires Province,Oceania
Kathmandu,Nepal,New York State,South America
Mumbai,USA,Bavaria,North America
Los Angeles,USA,Rio de Janeiro State,Asia
Tokyo,UAE,Lagos State,Europe
Jakarta,Egypt,Beijing Municipality,North America
Johannesburg,Nigeria,Taiwan Province,Africa
Dhaka,Pakistan,Tokyo Prefecture,North America
Los Angeles,South Africa,Bangkok Metropolitan Region,North America
Ankara,Peru,Cundinamarca,Africa
Hong Kong,Canada,Illinois,Africa
Baghdad,South Korea,Western Cape,Asia
Shanghai,UK,Victoria,North America
Berlin,Indonesia,Dhaka Division,Europe
Hong Kong,UK,Nairobi County,North America
Cape Town,Brazil,Riyadh Province,North America
Bogotá,Pakistan,Gauteng,North America
Hong Kong,Bangladesh,Western Cape,North America
Dubai,Argentina,England,Asia
Bogotá,Egypt,Sindh,Africa
Lima,Nepal,Singapore,Europe
New York,Saudi Arabia,Lombardy,Europe
Rio de Janeiro,USA,Tehran Province,Europe
Delhi,UAE,Illinois,Asia
Moscow,Singapore,Dubai Emirate,Africa
Cairo,USA,Maharashtra,Oceania
Shanghai,Taiwan,Hong Kong SAR,Africa
Dubai,UK,Seoul Capital Area,North America
Cape Town,Iraq,Ontario,South America
Singapore,Australia,New South Wales,Africa
Ankara,Bangladesh,Santiago Metro,South America
Chicago,Egypt,Ontario,Europe
Rome,Nepal,Catalonia,Africa
Havana,South Korea,Illinois,Oceania
Tokyo,Canada,Marmara Region,Africa
Mumbai,Italy,England,Europe
Karachi,Thailand,São Paulo State,Asia
New York,Argentina,Île-de-France,South America
Mumbai,Malaysia,California,Asia
Buenos Aires,UAE,Kabul Province,Africa
Istanbul,Russia,Hong Kong SAR,Asia
Lagos,Thailand,Catalonia,South America
Madrid,Pakistan,Baghdad Governorate,Asia
Shanghai,Cuba,Sindh,Asia
Delhi,Iran,Riyadh Province,Asia
Manila,Iraq,Western Cape,Asia
Cairo,Afghanistan,Kuala Lumpur Federal Territory,South America
Bangalore,Philippines,Karnataka,Oceania
Jakarta,South Africa,California,Africa
Cairo,UK,Victoria,North America
São Paulo,India,Taiwan Province,North America
Tokyo,Indonesia,Sindh,Oceania
Lima,Chile,Bagmati Province,Asia
Madrid,Iran,Moscow Oblast,Asia
Cairo,China,Sindh,North America
Singapore,Iran,Kabul Province,South America
Rome,China,Lombardy,North America
Tokyo,Chile,Bagmati Province,Europe
New York,India,Catalonia,Asia
Riyadh,Saudi Arabia,Metro Manila,North America
Chicago,South Korea,Lombardy,Asia
Delhi,Canada,Dhaka Division,Oceania
Santiago,Singapore,Bavaria,Asia
Bangalore,Iran,La Habana,Europe
Johannesburg,Turkey,Kabul Province,Africa
Hong Kong,Malaysia,Seoul Capital Area,North America
Karachi,France,New York State,North America
Chicago,Germany,Ontario,Europe
Johannesburg,Iran,Ontario,Asia
Toronto,Japan,São Paulo State,South America
Baghdad,Chile,California,Europe
Shanghai,South Africa,Tehran Province,Africa
Kabul,Philippines,Lombardy,Africa
Shanghai,Cuba,Delhi,Oceania
Tokyo,Nepal,Lima Province,Africa
Karachi,Russia,Ontario,Oceania
Bangalore,Kenya,Ontario,Africa
Johannesburg,China,Marmara Region,Europe
Hong Kong,Nigeria,Taiwan Province,South America
Riyadh,Philippines,Bavaria,South America
London,Kenya,Jakarta Special Region,South America
Santiago,Nigeria,Lima Province,North America
Jakarta,USA,Gauteng,Asia
Taipei,Kenya,Moscow Oblast,Oceania
São Paulo,Afghanistan,Kabul Province,North America
Shanghai,Afghanistan,La Habana,Asia
Havana,Afghanistan,Bangkok Metropolitan Region,Oceania
Berlin,Russia,Lagos State,Africa
São Paulo,UAE,Victoria,Asia
Cape Town,Turkey,Jakarta Special Region,Africa
Dhaka,Nigeria,Maharashtra,South America
Chicago,Turkey,New South Wales,South America
Hong Kong,Philippines,Tehran Province,Africa
New York,France,Moscow Oblast,Asia
Kathmandu,Afghanistan,Jakarta Special Region,South America
Istanbul,Indonesia,Île-de-France,Europe
Rio de Janeiro,USA,Kabul Province,North America
Santiago,Canada,Kabul Province,Africa
New York,Colombia,Tokyo Prefecture,Asia
Madrid,Peru,Maharashtra,South America
Toronto,Bangladesh,Kuala Lumpur Federal Territory,Europe
Singapore,Kenya,Illinois,North America
Shanghai,Cuba,Île-de-France,South America
Cairo,Cuba,Central Anatolia,South America
Kathmandu,India,Metro Manila,Oceania
Dhaka,Turkey,Cundinamarca,Asia
Casablanca,Mexico,Île-de-France,Europe
Lima,Singapore,Taiwan Province,South America
Riyadh,UAE,Tehran Province,North America
Dubai,Thailand,Central Anatolia,Europe
Rio de Janeiro,Japan,Jakarta Special Region,North America
Bangkok,USA,Shanghai Municipality,South America
Moscow,South Africa,Lombardy,Oceania
Rome,Egypt,Central Anatolia,North America
Mexico City,Iraq,New York State,North America
Berlin,Colombia,Hong Kong SAR,North America
New York,Kenya,Distrito Federal,Asia
Berlin,Chile,Lombardy,Asia
Melbourne,Philippines,Catalonia,Africa
London,Germany,Shanghai Municipality,Asia
Singapore,Kenya,Île-de-France,Europe
Bangalore,Egypt,Ontario,Oceania
London,Colombia,Western Cape,Asia
Seoul,Iraq,Santiago Metro,North America
Cape Town,Saudi Arabia,Santiago Metro,Europe
Toronto,Saudi Arabia,Casablanca-Settat,North America
Nairobi,Brazil,Île-de-France,Asia
Kathmandu,Italy,Gauteng,Africa
London,Pakistan,Delhi,North America
Dubai,Spain,Kabul Province,South America
Madrid,Chile,Marmara Region,Oceania
Ankara,Egypt,Beijing Municipality,Oceania
Dhaka,Chile,Maharashtra,Asia
Jakarta,USA,Bangkok Metropolitan Region,North America
Bangkok,Taiwan,Île-de-France,North America
Madrid,Brazil,Lima Province,Oceania
Kathmandu,Pakistan,Gauteng,Africa
Rio de Janeiro,Saudi Arabia,Tehran Province,Europe
Berlin,France,Maharashtra,South America
Dubai,Italy,Tokyo Prefecture,South America
Karachi,Canada,Giza,Asia
Cape Town,Iraq,Hong Kong SAR,Asia
Buenos Aires,Australia,Karnataka,North America
Dubai,Spain,Bangkok Metropolitan Region,North America
Dubai,France,Buenos Aires Province,Europe
Paris,Peru,Île-de-France,Asia
Bangalore,India,New South Wales,Europe
Buenos Aires,Russia,Santiago Metro,Asia
Baghdad,Germany,Hong Kong SAR,Oceania
São Paulo,Saudi Arabia,Bagmati Province,Asia
Delhi,France,Sindh,South America
Kuala Lumpur,Chile,Dubai Emirate,Asia
Cairo,Afghanistan,Illinois,Europe
Bangalore,Germany,Taiwan Province,Africa
Bogotá,Hong Kong,Gauteng,Oceania
Toronto,Indonesia,Distrito Federal,North America
Karachi,Iran,Tehran Province,North America
Bangkok,UAE,Kuala Lumpur Federal Territory,North America
Casablanca,Iran,Tehran Province,South America
Lima,Iran,Illinois,Oceania
Chicago,South Korea,Catalonia,Europe
Taipei,UK,Santiago Metro,Asia
Lima,Canada,Santiago Metro,North America
Karachi,Spain,Sindh,South America
Tokyo,Mexico,La Habana,Europe
Ankara,Afghanistan,Tehran Province,Asia
Buenos Aires,Argentina,Île-de-France,South America
Nairobi,Afghanistan,Île-de-France,North America
Buenos Aires,Turkey,Metro Manila,Asia
Toronto,Singapore,Catalonia,Europe
Seoul,Nepal,Buenos Aires Province,South America
Lima,Canada,Casablanca-Settat,North America
Dubai,Iraq,Tokyo Prefecture,Asia
Shanghai,Mexico,Dubai Emirate,Europe
Bangkok,South Africa,California,Europe
Johannesburg,India,Nairobi County,Asia
London,Afghanistan,Lima Province,North America
Johannesburg,Nigeria,New South Wales,Oceania
Riyadh,Hong Kong,Bangkok Metropolitan Region,North America
Madrid,Malaysia,Lima Province,South America
Karachi,Cuba,Kabul Province,Asia
Hong Kong,UAE,Gauteng,North America
Istanbul,China,Central Anatolia,Asia
London,Cuba,Tokyo Prefecture,Africa
Hong Kong,Egypt,Illinois,Africa
Moscow,Turkey,Gauteng,Asia
Tokyo,Malaysia,England,Asia
Seoul,Brazil,Jakarta Special Region,Oceania
New York,Taiwan,Tokyo Prefecture,South America
Nairobi,Pakistan,Maharashtra,North America
Buenos Aires,Cuba,Santiago Metro,Asia
Melbourne,South Korea,California,Asia
Dhaka,Cuba,Bavaria,North America
Santiago,Australia,Jakarta Special Region,Europe
Riyadh,Iraq,Riyadh Province,Asia
Melbourne,Australia,Delhi,Asia
Tehran,Turkey,Casablanca-Settat,Oceania
Baghdad,Colombia,Bagmati Province,Oceania
Manila,Pakistan,Buenos Aires Province,Africa
Delhi,Nigeria,Kuala Lumpur Federal Territory,Europe
Santiago,Indonesia,Taiwan Province,North America
Bogotá,Pakistan,Metro Manila,North America
Kabul,Taiwan,Singapore,Africa
Dubai,Egypt,Rio de Janeiro State,Africa
Nairobi,Chile,Moscow Oblast,Asia
Jakarta,Thailand,Lima Province,South America
Kuala Lumpur,Nepal,Tehran Province,South America
Beijing,UAE,Dubai Emirate,Asia
Lima,Turkey,La Habana,Europe
Kabul,Thailand,Victoria,Africa
São Paulo,Canada,Île-de-France,Europe
Beijing,Turkey,Beijing Municipality,North America
Karachi,Nigeria,Buenos Aires Province,South America
Los Angeles,Indonesia,Baghdad Governorate,Africa
Los Angeles,Colombia,Bavaria,Asia
Rio de Janeiro,Afghanistan,Rio de Janeiro State,Africa
Shanghai,China,Bavaria,Africa
Rome,Bangladesh,Cundinamarca,Oceania
Dhaka,South Africa,Gauteng,Asia
Tehran,Egypt,Dhaka Division,Europe
Tokyo,Nepal,Maharashtra,Asia
São Paulo,Thailand,Marmara Region,Asia
Bangkok,Thailand,Singapore,South America
Seoul,Japan,Shanghai Municipality,Africa
Bangkok,South Korea,Lagos State,Europe
Toronto,Turkey,Singapore,Europe
Sydney,Cuba,Seoul Capital Area,South America
Singapore,Nigeria,Catalonia,Africa
Bangalore,Argentina,Giza,Oceania
Rome,Bangladesh,Tokyo Prefecture,Europe
Shanghai,Cuba,England,Africa
Cape Town,Brazil,Metro Manila,Asia
Toronto,South Korea,Riyadh Province,Oceania
Mexico City,Nigeria,Cundinamarca,Asia
Ankara,UAE,Metro Manila,North America
Tokyo,Saudi Arabia,Baghdad Governorate,Asia
Dhaka,Taiwan,Jakarta Special Region,North America
Kabul,Hong Kong,Metro Manila,Oceania
Kathmandu,Afghanistan,Seoul Capital Area,Europe
Los Angeles,Thailand,Hong Kong SAR,North America
Nairobi,Indonesia,New South Wales,South America
Lagos,Russia,Lombardy,Africa
São Paulo,South Africa,Sindh,Africa
Seoul,France,Bangkok Metropolitan Region,Europe
Mexico City,Singapore,Central Anatolia,Africa
New York,Turkey,Distrito Federal,South America
Rio de Janeiro,France,Giza,Europe
Casablanca,Chile,Shanghai Municipality,Europe
Tokyo,Argentina,Bavaria,Europe
Lagos,Turkey,Shanghai Municipality,Oceania
Bogotá,Turkey,Buenos Aires Province,Europe
Havana,Singapore,New York State,Asia
Shanghai,Canada,Beijing Municipality,South America
Rome,UAE,Hong Kong SAR,Oceania
Casablanca,Russia,Lima Province,Oceania
Seoul,Taiwan,Singapore,Africa
Shanghai,France,Nairobi County,Africa
São Paulo,Afghanistan,Gauteng,South America
Jakarta,South Korea,Illinois,South America
Manila,Italy,Nairobi County,North America
Johannesburg,South Africa,New York State,South America
Kabul,Thailand,Shanghai Municipality,Asia
Istanbul,Nigeria,Hong Kong SAR,Asia
Toronto,UK,Ontario,South America
Sydney,India,Kuala Lumpur Federal Territory,Africa
Bangalore,South Africa,Kuala Lumpur Federal Territory,South America
Jakarta,Taiwan,Metro Manila,Africa
Moscow,USA,Rio de Janeiro State,South America
Hong Kong,France,Tehran Province,Oceania
Taipei,Egypt,Buenos Aires Province,Oceania
Taipei,Malaysia,La Habana,North America
Nairobi,UK,Giza,Europe
Kathmandu,Argentina,Santiago Metro,Europe
Johannesburg,Iran,Metro Manila,Africa
Kuala Lumpur,Nepal,Catalonia,Asia
Lima,Nepal,Beijing Municipality,Europe
Havana,Peru,Kuala Lumpur Federal Territory,Asia
Bangkok,South Korea,Tokyo Prefecture,South America
Madrid,China,La Habana,North America
Bangkok,Spain,Metro Manila,Oceania
Mexico City,Peru,Nairobi County,Oceania
Melbourne,Brazil,São Paulo State,Africa
Paris,Turkey,Seoul Capital Area,South America
Tehran,Italy,Île-de-France,Oceania
Los Angeles,China,Sindh,North America
Beijing,Peru,Nairobi County,North America
Ankara,South Korea,La Habana,Europe
Casablanca,Afghanistan,Cundinamarca,Europe
Melbourne,Canada,Cundinamarca,North America
Berlin,Morocco,Rio de Janeiro State,Asia
Cairo,Malaysia,Singapore,South America
New York,Egypt,Moscow Oblast,North America
São Paulo,Canada,Sindh,Asia
Nairobi,Afghanistan,Marmara Region,Africa
Manila,Pakistan,Lombardy,South America
Rome,UAE,Nairobi County,South America
Beijing,Afghanistan,Santiago Metro,North America
Berlin,Colombia,Hong Kong SAR,Oceania
Casablanca,South Korea,Marmara Region,South America
Taipei,Singapore,Nairobi County,South America
Los Angeles,Hong Kong,Shanghai Municipality,South America
Dubai,UK,Marmara Region,North America
Riyadh,Nigeria,Santiago Metro,Europe
Rio de Janeiro,Japan,Île-de-France,Africa
Melbourne,Saudi Arabia,Kabul Province,Europe
Santiago,Italy,Western Cape,Africa
Karachi,Turkey,Rio de Janeiro State,Oceania
Ankara,Philippines,Lombardy,North America
Istanbul,Japan,Tokyo Prefecture,South America
Seoul,Cuba,Seoul Capital Area,North America
Tehran,Australia,Kuala Lumpur Federal Territory,Oceania
Delhi,Brazil,Buenos Aires Province,Oceania
Rome,Taiwan,Singapore,Europe
Dhaka,Peru,Lagos State,North America
Tokyo,Philippines,Tokyo Prefecture,North America
Johannesburg,South Korea,Dubai Emirate,South America
Johannesburg,Germany,Gauteng,North America
Dhaka,Canada,Sindh,North America
Cairo,Peru,Maharashtra,Africa
Seoul,Japan,Moscow Oblast,South America
Toronto,UK,Catalonia,Africa
Dhaka,UK,Riyadh Province,Asia
Lima,Morocco,Shanghai Municipality,Africa
Paris,Afghanistan,Giza,Africa
Hong Kong,Malaysia,Taiwan Province,Africa
Dhaka,Argentina,Kabul Province,South America
Havana,UAE,Rio de Janeiro State,Asia
Singapore,South Africa,Baghdad Governorate,Africa
Madrid,Singapore,Western Cape,South America
Tokyo,Malaysia,California,South America
Chicago,Kenya,Giza,Asia
Tokyo,Colombia,Casablanca-Settat,Europe
Santiago,Colombia,Tokyo Prefecture,Oceania
New York,Turkey,Lima Province,Oceania
Seoul,Pakistan,Ontario,Africa
Kabul,Malaysia,England,Asia
Singapore,South Africa,Bangkok Metropolitan Region,Africa
Kathmandu,China,Metro Manila,North America
Cairo,Australia,Beijing Municipality,Africa
Kabul,Hong Kong,São Paulo State,Oceania
Bogotá,Morocco,Bangkok Metropolitan Region,Europe
Chicago,Italy,Casablanca-Settat,Europe
Chicago,France,Kuala Lumpur Federal Territory,Asia
Taipei,South Korea,Seoul Capital Area,Oceania
Kathmandu,Indonesia,La Habana,Oceania
Kuala Lumpur,USA,Buenos Aires Province,Africa
Tokyo,Philippines,Illinois,Africa
Tehran,Indonesia,Bagmati Province,Africa
Lima,USA,Beijing Municipality,North America
Los Angeles,USA,Santiago Metro,South America
Sydney,Egypt,Lima Province,North America
Madrid,USA,Central Anatolia,South America
Lima,France,Gauteng,Asia
Lagos,Mexico,Bangkok Metropolitan Region,South America
Melbourne,Cuba,Kuala Lumpur Federal Territory,Asia
Istanbul,USA,England,South America
London,Nigeria,Lagos State,Europe
Nairobi,Thailand,Taiwan Province,North America
Kabul,Hong Kong,Delhi,North America
Casablanca,Australia,Kabul Province,Asia
New York,Colombia,Illinois,Europe
Tokyo,Philippines,Bavaria,Africa
Madrid,Bangladesh,Kabul Province,North America
New York,Nepal,Dhaka Division,North America
Madrid,Philippines,Distrito Federal,North America
Kuala Lumpur,Argentina,Giza,Africa
Mumbai,Colombia,Bangkok Metropolitan Region,Asia
Singapore,Pakistan,California,Oceania
Riyadh,Mexico,Seoul Capital Area,Africa
Melbourne,Canada,Nairobi County,North America
Chicago,Kenya,Maharashtra,Oceania
Ankara,UAE,New York State,Europe
Rome,Thailand,Gauteng,Africa
Los Angeles,Singapore,Taiwan Province,North America
Seoul,Malaysia,Seoul Capital Area,Asia
Rio de Janeiro,Iran,Lagos State,Europe
Santiago,UK,Taiwan Province,Oceania
Dubai,Brazil,Metro Manila,Europe
Jakarta,Bangladesh,Illinois,North America
Bogotá,Spain,Sindh,Europe
Kathmandu,UAE,Shanghai Municipality,Africa
Nairobi,Argentina,São Paulo State,Europe
Tehran,Australia,California,Africa
Moscow,China,Jakarta Special Region,South America
Bogotá,Italy,Shanghai Municipality,South America
Dubai,Afghanistan,England,Africa
Riyadh,Spain,Dhaka Division,Africa
Hong Kong,Pakistan,Hong Kong SAR,South America
Lima,India,Jakarta Special Region,South America
Bogotá,Japan,Ontario,Asia
Hong Kong,Malaysia,Jakarta Special Region,Africa
Moscow,Spain,New South Wales,Oceania
Buenos Aires,South Korea,Victoria,Asia
Taipei,Colombia,Tokyo Prefecture,North America
New York,Nepal,Marmara Region,Asia
Lagos,Germany,Casablanca-Settat,South America
Buenos Aires,Italy,Giza,Africa
Los Angeles,Italy,Kuala Lumpur Federal Territory,Africa
Santiago,Afghanistan,Bangkok Metropolitan Region,Europe
Dhaka,Russia,Dubai Emirate,Europe
Tokyo,Indonesia,Lombardy,Africa
Sydney,Australia,New South Wales,Oceania
Mexico City,South Korea,Delhi,South America
Istanbul,Indonesia,Riyadh Province,North America
Shanghai,Nepal,Dhaka Division,North America
Tokyo,Kenya,Cundinamarca,South America
Melbourne,Chile,Dubai Emirate,Africa
Sydney,Brazil,Jakarta Special Region,Europe
Toronto,Nepal,Lombardy,Asia
Dubai,Pakistan,Dhaka Division,Africa
Bangalore,Egypt,Dhaka Division,North America
Beijing,Colombia,Beijing Municipality,Europe
